"i","cl","a","b","c","d","question","answer"
1,9,1.37470923785153,0.409401839650934,0.171737490594387,0.906161758583039,"다음 중 옳은 것을 고르시오",1
2,4,1.53672866484442,1.68887328620405,0.00688775223679841,0.936972180800512,"다음 중 옳은 것을 고르시오",4
3,7,1.33287427751799,1.58658843344197,0.194199429173023,0.876656678738073,"다음 중 옳은 것을 고르시오",3
4,1,1.81905616042756,-0.330907800682766,0.149022027244791,0.990997599670663,"다음 중 옳은 것을 고르시오",4
5,2,1.56590155436307,-2.28523553529247,0.0546510483603925,0.823671316122636,"다음 중 옳은 것을 고르시오",1
6,7,1.3359063231764,2.49766158983416,0.135421220306307,0.807820011069998,"다음 중 옳은 것을 고르시오",2
7,2,1.5974858104857,0.667066166765493,0.0695894936099648,0.900901006581262,"다음 중 옳은 것을 고르시오",3
8,3,1.64766494102584,0.5413273359637,0.189404104324058,0.915696511045098,"다음 중 옳은 것을 고르시오",3
9,1,1.6151562703307,-0.0133995231459087,0.0677247549872845,0.96786078158766,"다음 중 옳은 것을 고르시오",2
10,5,1.43892232256873,0.510108422952926,0.00634264079853892,0.93088899506256,"다음 중 옳은 것을 고르시오",4
11,5,1.80235623369017,-0.164375831769667,0.070717159518972,0.98890566797927,"다음 중 옳은 것을 고르시오",2
12,10,1.57796864728229,0.420694643254513,0.0774247175548226,0.902331525925547,"다음 중 옳은 것을 고르시오",2
13,6,1.37575188389164,-0.400246743977644,0.0713894320186228,0.816984211839736,"다음 중 옳은 것을 고르시오",3
14,10,1.0570600225645,-1.37020787754746,0.191993721202016,0.998954101884738,"다음 중 옳은 것을 고르시오",3
15,7,1.72498618362862,0.987838267454879,0.0767476409673691,0.880288823973387,"다음 중 옳은 것을 고르시오",4
16,9,1.49101327819695,1.51974502549955,0.109267524210736,0.979129259334877,"다음 중 옳은 것을 고르시오",1
17,5,1.49676194738021,-0.308740569225614,0.185064695170149,0.97537168241106,"다음 중 옳은 것을 고르시오",4
